t,x,y,vx,vy,ux,uy
1.453634053468704224e-01,2.817296504974365234e+00,-9.849572181701660156e-02,1.832506418228149414e+00,5.732330679893493652e-01,4.988198280334472656e+00,2.126676797866821289e+00
1.478696763515472412e-01,2.843200206756591797e+00,-9.829382598400115967e-02,1.851076841354370117e+00,5.816559195518493652e-01,4.964585781097412109e+00,2.126081943511962891e+00
1.503759324550628662e-01,2.869150638580322266e+00,-9.806595742702484131e-02,1.869523167610168457e+00,5.900934934616088867e-01,4.940649032592773438e+00,2.125461578369140625e+00
1.528822034597396851e-01,2.895146846771240234e+00,-9.781181812286376953e-02,1.887844920158386230e+00,5.985456109046936035e-01,4.916386604309082031e+00,2.124814033508300781e+00
1.553884744644165039e-01,2.921189785003662109e+00,-9.753064811229705811e-02,1.906040549278259277e+00,6.070119738578796387e-01,4.891801834106445312e+00,2.124136924743652344e+00
1.578947305679321289e-01,2.947277545928955078e+00,-9.722217917442321777e-02,1.924108505249023438e+00,6.154915690422058105e-01,4.866895198822021484e+00,2.123427867889404297e+00
1.604010015726089478e-01,2.973411083221435547e+00,-9.688556194305419922e-02,1.942047953605651855e+00,6.239848136901855469e-01,4.841668605804443359e+00,2.122685670852661133e+00
1.629072725772857666e-01,2.999588012695312500e+00,-9.652059525251388550e-02,1.959857940673828125e+00,6.324904561042785645e-01,4.816124439239501953e+00,2.121907711029052734e+00
1.654135286808013916e-01,3.025809288024902344e+00,-9.612663090229034424e-02,1.977536916732788086e+00,6.410089731216430664e-01,4.790264129638671875e+00,2.121091365814208984e+00
1.679197996854782104e-01,3.052073955535888672e+00,-9.570293128490447998e-02,1.995084047317504883e+00,6.495393514633178711e-01,4.764089584350585938e+00,2.120235443115234375e+00
1.704260706901550293e-01,3.078381776809692383e+00,-9.524872899055480957e-02,2.012498140335083008e+00,6.580812931060791016e-01,4.737601757049560547e+00,2.119337558746337891e+00
1.729323267936706543e-01,3.104731798171997070e+00,-9.476386010646820068e-02,2.029778480529785156e+00,6.666346192359924316e-01,4.710804462432861328e+00,2.118394851684570312e+00
1.754385977983474731e-01,3.131123065948486328e+00,-9.424751996994018555e-02,2.046923637390136719e+00,6.751987338066101074e-01,4.683697700500488281e+00,2.117405891418457031e+00
1.779448539018630981e-01,3.157556056976318359e+00,-9.369896352291107178e-02,2.063932895660400391e+00,6.837731003761291504e-01,4.656285285949707031e+00,2.116368293762207031e+00
1.804511249065399170e-01,3.184029817581176758e+00,-9.311735630035400391e-02,2.080805063247680664e+00,6.923577189445495605e-01,4.628567695617675781e+00,2.115279197692871094e+00
1.829573959112167358e-01,3.210543155670166016e+00,-9.250216186046600342e-02,2.097539424896240234e+00,7.009518742561340332e-01,4.600548267364501953e+00,2.114137172698974609e+00
1.854636520147323608e-01,3.237096071243286133e+00,-9.185288846492767334e-02,2.114135265350341797e+00,7.095552086830139160e-01,4.572228431701660156e+00,2.112939596176147461e+00
1.879699230194091797e-01,3.263688087463378906e+00,-9.116871654987335205e-02,2.130591392517089844e+00,7.181673049926757812e-01,4.543609619140625000e+00,2.111683845520019531e+00
1.904761940240859985e-01,3.290318250656127930e+00,-9.044891595840454102e-02,2.146906852722167969e+00,7.267878651618957520e-01,4.514697074890136719e+00,2.110368251800537109e+00
1.929824501276016235e-01,3.316985607147216797e+00,-8.969277143478393555e-02,2.163080692291259766e+00,7.354160547256469727e-01,4.485490322113037109e+00,2.108990669250488281e+00
1.954887211322784424e-01,3.343690872192382812e+00,-8.889965713024139404e-02,2.179113149642944336e+00,7.440520524978637695e-01,4.455992698669433594e+00,2.107547998428344727e+00
1.979949921369552612e-01,3.370431900024414062e+00,-8.806899189949035645e-02,2.195002794265747070e+00,7.526952028274536133e-01,4.426206588745117188e+00,2.106038093566894531e+00
2.005012482404708862e-01,3.397209167480468750e+00,-8.719968795776367188e-02,2.210748434066772461e+00,7.613448500633239746e-01,4.396134376525878906e+00,2.104459285736083984e+00
2.030075192451477051e-01,3.424021720886230469e+00,-8.629161119461059570e-02,2.226350069046020508e+00,7.700007557868957520e-01,4.365778923034667969e+00,2.102808475494384766e+00
2.055137902498245239e-01,3.450869083404541016e+00,-8.534345030784606934e-02,2.241806507110595703e+00,7.786626815795898438e-01,4.335142135620117188e+00,2.101083993911743164e+00
