t,x,y,vx,vy,ux,uy
3.921320343559645760e+00,1.000000000000000000e+00,6.600000000000000533e+00,1.414213562373094035e+00,1.414213562373095812e+00,1.740636775819386139e+00,1.531508347278353943e+00
4.062741699796955430e+00,1.200000000000000178e+00,6.800000000000000711e+00,1.414213562373096700e+00,1.414213562373088706e+00,1.864860179141743179e+00,1.301100362448886827e+00
4.204163056034264656e+00,1.400000000000000355e+00,7.000000000000000000e+00,1.414213562373097588e+00,1.414213562373099364e+00,1.584635820379037829e+00,1.087619287218275277e+00
4.345584412271573882e+00,1.600000000000000089e+00,7.200000000000001066e+00,1.414213562373097588e+00,1.414213562373099364e+00,1.015612920385507989e+00,1.096251879007846597e+00
4.487005768508883108e+00,1.800000000000000266e+00,7.400000000000000355e+00,1.414213562373097588e+00,1.414213562373092259e+00,6.139315762639724339e-01,1.379254298544823731e+00
4.628427124746192334e+00,2.000000000000000000e+00,7.599999999999999645e+00,1.414213562373097588e+00,1.414213562373099364e+00,7.973578345207661400e-01,1.753797317182032911e+00
4.769848480983501560e+00,2.200000000000000178e+00,7.800000000000000711e+00,1.757359312880719671e+00,5.857864376269077411e-01,2.120759049593061274e+00,5.059787856284210239e-01
4.869848480983501204e+00,2.400000000000000355e+00,7.800000000000000711e+00,2.000000000000005329e+00,0.000000000000000000e+00,2.663898245776538776e+00,3.995674080453381349e-01
4.969848480983500849e+00,2.600000000000000089e+00,7.800000000000000711e+00,1.757359312880721447e+00,5.857864376269041884e-01,2.367664439517911834e+00,1.524034953862180464e+00
5.111269837220810075e+00,2.800000000000000266e+00,8.000000000000000000e+00,1.757359312880719671e+00,5.857864376269006357e-01,2.795430137425672257e+00,-3.966918209236968695e-01
5.211269837220809720e+00,3.000000000000000000e+00,8.000000000000000000e+00,2.000000000000005329e+00,0.000000000000000000e+00,2.250406839991962116e+00,-6.281444266285874933e-01
5.311269837220809364e+00,3.200000000000000178e+00,8.000000000000000000e+00,2.000000000000010658e+00,0.000000000000000000e+00,1.609736640696773691e+00,-6.260251141113174489e-01
5.411269837220809009e+00,3.400000000000000355e+00,8.000000000000000000e+00,2.000000000000010658e+00,0.000000000000000000e+00,1.118133780091710605e+00,-3.709043299838117869e-01
5.511269837220808654e+00,3.600000000000000533e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,9.633738419612210002e-01,5.121416309307123826e-02
5.611269837220808299e+00,3.800000000000000711e+00,8.000000000000000000e+00,2.000000000000003553e+00,0.000000000000000000e+00,1.204569862574320860e+00,4.786870708546257513e-01
5.711269837220807943e+00,4.000000000000000000e+00,8.000000000000000000e+00,2.000000000000003553e+00,0.000000000000000000e+00,1.749593160008026782e+00,7.384280605639882422e-01
5.811269837220807588e+00,4.200000000000000178e+00,8.000000000000000000e+00,2.000000000000010658e+00,0.000000000000000000e+00,2.390263359303216095e+00,7.181538898068902110e-01
5.911269837220807233e+00,4.400000000000000355e+00,8.000000000000000000e+00,2.000000000000010658e+00,0.000000000000000000e+00,2.881866219908283622e+00,4.157615169211472117e-01
6.011269837220806878e+00,4.600000000000000533e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,3.036626158038779444e+00,-5.615473584887512720e-02
6.111269837220806522e+00,4.800000000000000711e+00,8.000000000000000000e+00,2.000000000000003553e+00,0.000000000000000000e+00,2.795430137425686468e+00,-5.138250950813650908e-01
6.211269837220806167e+00,5.000000000000000000e+00,8.000000000000000000e+00,2.000000000000003553e+00,0.000000000000000000e+00,2.250406839991983876e+00,-7.764292110005589498e-01
6.311269837220805812e+00,5.200000000000000178e+00,8.000000000000000000e+00,2.000000000000010658e+00,0.000000000000000000e+00,1.609736640696801224e+00,-7.399847590957947530e-01
6.411269837220805456e+00,5.400000000000000355e+00,8.000000000000000000e+00,2.000000000000010658e+00,0.000000000000000000e+00,1.118133780091722373e+00,-4.199210698014185783e-01
6.511269837220805101e+00,5.600000000000000533e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,9.633738419612194459e-01,5.559849180673959862e-02
6.611269837220804746e+00,5.800000000000000711e+00,8.000000000000000000e+00,2.000000000000003553e+00,0.000000000000000000e+00,1.204569862574306427e+00,4.986663389715920713e-01
6.711269837220804391e+00,6.000000000000000000e+00,8.000000000000000000e+00,2.000000000000003553e+00,0.000000000000000000e+00,1.749593160008005022e+00,7.384280605639844675e-01
6.811269837220804035e+00,6.200000000000000178e+00,8.000000000000000000e+00,2.000000000000007105e+00,0.000000000000000000e+00,2.390263359303188118e+00,6.893807643874173552e-01
