t,x,y,vx,vy,speed,ax,ay,accel,ux,uy,u_mag,dux_dt,duy_dt,udot_mag,curvature,safety_margin,Wx,Wy,v_dot_W,energy_cum,pathlen_cum
0.0,1.4035617113113403,-0.07281903922557831,0.5976877212524414,0.12341678142547607,0.6102969064917172,9.147867550379612,2.7603823692256384,9.555270354292443,5.784293174743652,2.1686553955078125,6.177468231877129,-1.8144908049732427,-0.5649712116355294,1.9004129423126344,0.024204404739426186,6.131740225489954,-0.04574246690217155,0.0,-0.027339710807224134,0.0,0.0
0.002506265649572015,1.426441669464111,-0.07387752830982208,0.6206147074699402,0.1303350329399109,0.6341528490351889,9.143598637719478,2.7672911143887635,9.55318251471626,5.779745578765869,2.1672394275665283,6.172712992814627,-1.8720438585609762,-0.5576462777013285,1.9533349890405423,0.035855276685751426,6.113315862868883,-0.04640129093444765,0.005458187756145068,-0.02808593051852043,0.0955682944907289,0.0015594608374476882
0.00501253129914403,1.4493706226348877,-0.0749128609895706,0.6435202956199646,0.1372879147529602,0.6580017799459381,9.13467986839154,2.7810014542966046,9.548630550335346,5.774909496307373,2.165860176086426,6.167700543387155,-1.9877206467649844,-0.5430439488900652,2.060565480639216,0.04725632095350644,6.094863308307561,-0.04703373366848313,0.011078283030048241,-0.02874624781821452,0.19098548150996525,0.003178702217723123
0.007518797181546688,1.4723496437072752,-0.0759257972240448,0.6664025783538817,0.14427489042282104,0.681841360173478,9.124941459927909,2.79466448805109,9.543306882202057,5.769782066345215,2.164517402648926,6.162428148018353,-2.104539167790435,-0.5287270575680627,2.169939494587035,0.046908768668324954,6.076382337548809,-0.04763980954684127,0.016858501717262605,-0.029315033426351892,0.286243698667563,0.004857703792649392
0.01002506259828806,1.4953781366348267,-0.07691565155982971,0.6892593502998352,0.15129625797271729,0.7056691927895804,9.114382986139706,2.8082860345735647,9.537213831618429,5.764360427856444,2.163209915161133,6.156892745475495,-2.2224042220961144,-0.5146480113663204,2.2812152686657923,0.04650970438805729,6.057873307790413,-0.04821865053619607,0.02279694475860513,-0.0297860633057256,0.3813349787021597,0.006596438649776897
0.01253132801502943,1.5184569358825684,-0.07788316905498505,0.7120887041091919,0.1583515107631683,0.729483052223207,9.103049050006002,2.82180572259864,9.530377198353987,5.758642196655273,2.161937713623047,6.151092149097128,-2.341315065124365,-0.5005212585386307,2.3942175683148355,0.04615766237552067,6.039336196665636,-0.04877031014048008,0.02889162861646742,-0.030153753907111842,0.4762513388883547,0.008394874869494041
0.015037594363093376,1.5415868759155271,-0.07882784307003021,0.7348886728286742,0.1654406487941742,0.753280804033481,9.09094388415044,2.835242694520831,9.52280745587172,5.75262451171875,2.160701036453247,6.145023819462177,-2.461367869130197,-0.48672755284859903,2.509030788549338,0.04571254091181009,6.020770286518288,-0.04929408206635314,0.03514047904008288,-0.030411998896720617,0.5709847636969163,0.010252975447024873
0.017543859779834747,1.5647673606872559,-0.07975013554096222,0.7576573491096495,0.17256325483322144,0.7770603165639696,9.077996135058793,2.848614794521557,9.51444270967614,5.746304512023926,2.1594979763031006,6.138684472634484,-2.5822773139628037,-0.47317175758522695,2.625270964754542,0.04532403839888389,6.00217659122642,-0.049789891072840466,0.04154128893219967,-0.030555176854598857,0.6655270661385198,0.012170695960210186
0.02005012519657612,1.587998628616333,-0.08064994215965272,0.7803924083709716,0.17971941828727722,0.8008191932968156,9.064297555828363,2.861885293151053,9.505360467217976,5.739680767059326,2.1583292484283447,6.132073095811236,-2.7040424626779407,-0.4596158718884246,2.7428256214453626,0.044994378244415704,5.983555120251388,-0.05025733217087717,0.04809177049282275,-0.030577415473755393,0.7598701238762519,0.014147988383884641
0.02255639061331749,1.6112819910049438,-0.08152726292610168,0.8030924201011658,0.18690854310989377,0.8245557826559767,9.049849835546265,2.8750547171942293,9.495563262534642,5.732750415802002,2.157194137573242,6.125186844256948,-2.826949159662282,-0.4462978087477065,2.861961440237846,0.04441892805535223,5.96490506479128,-0.05069609060306412,0.05478956882226543,-0.03047300760589384,0.8540057465749316,0.016184798929618303
0.02506265603005886,1.6346168518066406,-0.08238236606121062,0.8257550597190858,0.19413071870803836,0.8482677375674325,9.034557845189982,2.8881527944705696,9.48497032268905,5.725510597229004,2.1560921669006348,6.11802296752406,-2.95080714687096,-0.4332175681631613,2.9824386463747983,0.04391844718230292,5.946227344399153,-0.05110604292668527,0.06163218007389309,-0.030236374115643047,0.9479256858096653,0.018281068798142047
0.027568921446800232,1.658003807067871,-0.08321535587310791,0.8483784198760985,0.201385498046875,0.8719530160135084,9.018465798029338,2.9011249368534733,9.473608143123611,5.717959403991699,2.1550226211547847,6.110579534167439,-3.0756152814122757,-0.4203749939241238,3.104210768419796,0.04365638305636876,5.927521810606505,-0.05148698770034667,0.06861703733994738,-0.029861973030193903,1.0416216505882236,0.020436733690072394
0.030075188726186752,1.6814430952072144,-0.0840262472629547,0.8709604144096375,0.20867270231246948,0.8956094797170226,9.00163131230014,2.9140278885725306,9.461549810573361,5.710093975067139,2.153985023498535,6.102853814860227,-3.201281862938894,-0.4077229901507523,3.2271417078707567,0.04323658735321102,5.908788563647433,-0.0518386924321407,0.07574147233485556,-0.02934427133391154,1.1350853786539936,0.022651725713732498
