t,speed,u_mag,risk
0.0,0.6102969064917172,6.177468231877129,0.08023219231591862
0.002506265649572015,0.6341528490351889,6.172712992814627,0.08099580929879353
0.00501253129914403,0.6580017799459381,6.167700543387155,0.08177036841148562
0.007518797181546688,0.681841360173478,6.162428148018353,0.0825560607688329
0.01002506259828806,0.7056691927895804,6.156892745475495,0.08335306557044167
0.01253132801502943,0.729483052223207,6.151092149097128,0.08416157121695732
0.015037594363093376,0.753280804033481,6.145023819462177,0.0849818095031141
0.017543859779834747,0.7770603165639696,6.138684472634484,0.08581393134636812
0.02005012519657612,0.8008191932968156,6.132073095811236,0.0866581389898422
0.02255639061331749,0.8245557826559767,6.125186844256948,0.08751467532077488
0.02506265603005886,0.8482677375674325,6.11802296752406,0.08838370461408337
0.027568921446800232,0.8719530160135084,6.110579534167439,0.08926544452143037
0.030075188726186752,0.8956094797170226,6.102853814860227,0.09016010504689954
0.032581452280282974,0.9192354116648991,6.094844429663875,0.09106790038569375
0.035087719559669495,0.9428286391185368,6.086550009309211,0.09198901924821169
0.03759398311376572,0.9663866088692644,6.077967773039792,0.09292369062040202
0.04010025039315224,0.9899084334671929,6.069095843341642,0.09387214455610597
0.04260651767253876,1.0133912036649533,6.059932522920296,0.09483456132672255
0.04511278122663498,1.0368333994772077,6.0504767640939185,0.09581117012536704
0.04761904850602149,1.0602329303825344,6.040726723037896,0.09680220872455905
0.05012531206011772,1.083587818650188,6.030680291686651,0.09780790064322174
0.05263157933950424,1.1068963060623167,6.020337708210256,0.09882843843059404
0.055137842893600464,1.1301565277054921,6.00969502119409,0.09986406032543346
0.05764411017298698,1.1533661199196261,5.998753107164396,0.10091500351967042
0.060150377452373505,1.1765236695730372,5.987509120251504,0.10198145895669973
0.06265664100646973,1.199626638961161,5.975963428309887,0.10306368353340042
0.06516290456056595,1.2226739757414646,5.964114167491827,0.10416190465465212
0.06766917556524277,1.245663179747696,5.951961472789585,0.10527633728924268
0.07017543911933899,1.2685928987255626,5.939503076986676,0.10640720005418662
0.07268170267343521,1.291460939580963,5.926738590906759,0.10755472720732191
0.07518796622753142,1.3142650647685399,5.913667551330802,0.10871916410416231
0.07769423723220825,1.3370043758845378,5.900288531550711,0.10990072411827755
0.08020050078630446,1.3596767645355585,5.886602955862065,0.11109962083858511
0.08270676434040068,1.3822800776445618,5.8726086194210625,0.11231610012251016
0.0852130353450775,1.4048128341691681,5.858305647577753,0.11355036968592469
0.08771929889917372,1.4272729843572085,5.843693983775884,0.11480268072313199
0.09022556245326996,1.4496590598193895,5.828771469545168,0.11607322659061478
0.09273182600736618,1.4719694248081523,5.813540561542592,0.11736224832791925
0.09523809701204303,1.4942019256337,5.79799991706526,0.11866997818260303
0.09774436056613922,1.5163552909298474,5.782149803336174,0.1199965872939207
0.10025062412023544,1.5384275851989642,5.765990230319712,0.12134230351726757
0.10275689512491226,1.5604172598603,5.749521219686619,0.12270738649546974
0.10526315867900848,1.5823222690354815,5.732742716215994,0.12409198921257948
0.1077694222331047,1.6041416668534256,5.715654675743968,0.12549636559613236
0.11027568578720091,1.6258734078679695,5.698259012444996,0.12692066384213121
0.11278195679187775,1.6475160155783568,5.680554019777952,0.12836515025173567
0.11528822034597395,1.6690680917621088,5.662541190068626,0.12982998107786042
0.1177944839000702,1.690527580858925,5.644221585198004,0.13131532095454743
0.120300754904747,1.711893490072348,5.625594854555002,0.13282139286899544
0.12280701845884325,1.7331638586046016,5.6066623405064115,0.13434835220304753
0.12531328201293945,1.7543377012547523,5.587424512894607,0.13589640627520427
0.12781955301761627,1.7754132033158647,5.567881579010489,0.13746570414658696
0.13032580912113187,1.796388786082735,5.548035000473368,0.13905640338713152
0.13283208012580872,1.8172635049458266,5.527885185686963,0.14066864605046436
0.1353383511304855,1.83803560053955,5.507433248566356,0.1423025917492096
0.13784460723400116,1.858703691785146,5.486680493640169,0.14395839311843336
0.14035087823867795,1.8792671961232126,5.4656277944392615,0.1456361723634036
0.1428571492433548,1.8997235076866392,5.444275847612954,0.1473360209190959
0.14536340534687042,1.9200718536252341,5.422626327391264,0.1490580706637998
0.14786967635154724,1.9403115938807813,5.400679254353308,0.15080244452710975
0.15037593245506287,1.9604405640714753,5.378438415040497,0.15256921001116033
0.15288220345973969,1.9804583537406428,5.35590253085543,0.15435839328289852
0.1553884744644165,2.0003634949428086,5.333074428434934,0.15617018294635315
0.15789473056793213,2.0201543038920735,5.309954311144888,0.15800450937446947
0.16040100157260895,2.0398302139687696,5.28654417797445,0.15986154499863187
0.16290727257728577,2.059390037046226,5.262845898215581,0.16174114675355136
0.1654135286808014,2.078832547528416,5.238860469017526,0.16364343525089542
0.1679197996854782,2.098156744611847,5.214589907361824,0.16556839175714155
0.17042607069015503,2.1173615074399406,5.190034883920529,0.1675160356251518
0.17293232679367063,2.1364462070423675,5.165198489014826,0.16948624625100264
0.17543859779834747,2.1554094059924016,5.140080919468793,0.1714789563168999
0.17794485390186307,2.174250365203398,5.114685466281744,0.1734941778714745
0.18045112490653992,2.1929680622889345,5.089012182841354,0.1755318102772354
0.18295739591121676,2.2115617036423005,5.063064323642169,0.17759167597859973
0.1854636520147324,2.2300306083924397,5.036842916823002,0.17967365644777855
0.1879699230194092,2.248373625496517,5.010348993291529,0.18177761705003773
0.190476194024086,2.266589869211453,4.983587446431457,0.18390335193690566
0.1929824501276016,2.284678282584109,4.956557784668241,0.1860506279121366
0.19548872113227844,2.3026392630573023,4.929262571244772,0.1882193014052186
0.1979949921369553,2.320471360563172,4.901703909642602,0.1904089746331662
